annotator_id,text_ids
65,"['13613624_gab', '1178724982433538048_twitter', '1179031798233403393_twitter', '23170995_gab', '25346039_gab', '1179045683841703938_twitter', '1178855657979699200_twitter', '1179027656785969152_twitter', '1179082751737249792_twitter', '1178579403720318976_twitter', '18666383_gab', '1179036898611752962_twitter', '1179057691483934725_twitter', '1178822293906059265_twitter', '1178702199439990785_twitter', '24921934_gab', '1178852803130859520_twitter', '12645639_gab', '1178733988552200192_twitter', '15186957_gab']"
66,"['1178188393785757696_twitter', '1179104812157276162_twitter', '20127651_gab', '1179098103284211712_twitter', '16891858_gab', '1178889981194047489_twitter', '1178988817769910272_twitter', '1179030936878485509_twitter', '1179096058250629120_twitter', '23316682_gab', '14860393_gab', '1179104631248412672_twitter', '1178977811853389826_twitter', '11534429_gab', '1178112963800162304_twitter', '17280044_gab', '1820844_gab', '17743210_gab', '1178827797525078021_twitter', '1179076392769720320_twitter']"
67,"['21146846_gab', '1178429473156415494_twitter', '17266261_gab', '1178715235542343685_twitter', '1179101018811965441_twitter', '6462832_gab', '1178874632482381824_twitter', '1179060336936341505_twitter', '1178915679551938561_twitter', '1178924581886812160_twitter', '1178251681466707969_twitter', '23229055_gab', '16474328_gab', '1179084301138194432_twitter', '18605730_gab', '1179055796262338560_twitter', '25979396_gab', '1178717722416467969_twitter', '19991662_gab', '11769802_gab']"
68,"['8354021_gab', '21739892_gab', '13522325_gab', '11542797_gab', '16505548_gab', '13112831_gab', '15621599_gab', '21553592_gab', '22919778_gab', '20104013_gab', '26038110_gab', '25340676_gab', '13482665_gab', '14372862_gab', '19090207_gab', '16018169_gab', '21547300_gab', '26212173_gab', '16628983_gab', '27999703_gab']"
69,"['1188156422506176512_twitter', '1142806529743183872_twitter', '1084156205352841216_twitter', '1174786810087530497_twitter', '1162708774815223808_twitter', '1121645666256556033_twitter', '1142522499831226368_twitter', '1181139251259305984_twitter', '1185162171811975168_twitter', '1123298276558532608_twitter', '1091087401777123328_twitter', '1092154818569879554_twitter', '1166406024456282112_twitter', '1185235911853957126_twitter', '1187767526647828480_twitter', '1124131936438501377_twitter', '1177614408501092353_twitter', '1187186514855378945_twitter', '1117092728309813253_twitter', '1103419821541244931_twitter']"
70,"['1179068221074358277_twitter', '1082100757304754176_twitter', '2449943_gab', '1178510689704517632_twitter', '25799382_gab', '1179032794628014080_twitter', '14664734_gab', '1178675656634372096_twitter', '18624874_gab', '1179046856237764608_twitter', '1178934591584751616_twitter', '10912897_gab', '1179019049969373184_twitter', '14337574_gab', '1178852316176424960_twitter', '1179103646509912064_twitter', '26224458_gab', '1178998068764663809_twitter', '1178349755388350465_twitter', '1179032471083634688_twitter']"
71,"['1178908884578308096_twitter', '22793395_gab', '1177359479794524162_twitter', '17382908_gab', '1178822496205889538_twitter', '22086860_gab', '22668176_gab', '3726243_gab', '1178857426730258433_twitter', '18346631_gab', '12131802_gab', '22234676_gab', '27501024_gab', '19813120_gab', '13660502_gab', '1178902421625610240_twitter', '23569126_gab', '14357997_gab', '25162683_gab', '12302647_gab']"
72,"['9692978_gab', '1178359154802597889_twitter', '19932727_gab', '23043975_gab', '1179095699826323456_twitter', '11004916_gab', '21814284_gab', '1179096391961976832_twitter', '1179092118247280644_twitter', '1178359187253923840_twitter', '15544962_gab', '24489651_gab', '1178495639035895813_twitter', '1178351033023713280_twitter', '20126138_gab', '26994313_gab', '27928076_gab', '1179001808116736000_twitter', '1179090482862927872_twitter', '19764078_gab']"
73,"['20126138_gab', '21814284_gab', '12334612_gab', '23043975_gab', '1178344462814076928_twitter', '23700113_gab', '20719350_gab', '14484627_gab', '19932727_gab', '8442798_gab']"
74,"['1178351033023713280_twitter', '1179090482862927872_twitter', '20126138_gab', '13637009_gab', '1179001808116736000_twitter', '1178359154802597889_twitter', '1179095699826323456_twitter', '19932727_gab', '27928076_gab', '22312716_gab']"
75,"['1178876725767364608_twitter', '1179038680708595713_twitter', '1178828239185297409_twitter', '24489651_gab', '1178011413417201664_twitter', '1178334508317380608_twitter', '26994313_gab', '1178948520201637888_twitter', '1179055578141863936_twitter', '14811866_gab', '21969771_gab', '21752351_gab']"
76,"['26994313_gab', '18208498_gab', '1179096391961976832_twitter', '23721481_gab', '1179001808116736000_twitter', '24515858_gab', '23766505_gab', '1178758706663575553_twitter', '21752351_gab', '13637009_gab', '25743035_gab', '1179090482862927872_twitter', '9692978_gab', '1178334508317380608_twitter', '1179080249654546435_twitter', '1178359187253923840_twitter', '24489651_gab']"
77,"['22345411_gab', '26830977_gab', '26428645_gab', '1179072047479234562_twitter', '13829718_gab', '25824141_gab', '25701465_gab', '19148860_gab', '8621354_gab', '19687649_gab', '1178886553667604480_twitter', '18823962_gab', '1179093651793817601_twitter', '1179098124821901312_twitter', '4480271_gab', '1179074070614331393_twitter', '1179030808738369536_twitter', '1179068531188621318_twitter', '6094289_gab', '15824095_gab']"
78,"['1178928675137478656_twitter', '20752861_gab', '21455262_gab', '1179014540262039553_twitter', '11657882_gab', '25647426_gab', '26296754_gab', '16921944_gab', '12112693_gab', '1178528359518654464_twitter', '1178722140838858752_twitter', '24856797_gab', '1178314665211944960_twitter', '20770791_gab', '1178958398676766721_twitter', '1179076600261943301_twitter', '5313839_gab', '1179078865240690688_twitter', '10569062_gab', '9432870_gab']"
79,"['16281001_gab', '1179059155241332736_twitter', '10938753_gab', '11949427_gab', '9183625_gab', '1178955261177933824_twitter', '1179076835562463233_twitter', '1178519068384493569_twitter', '11004916_gab', '19067466_gab', '10714168_gab', '8325876_gab', '27698974_gab', '23739163_gab', '1178262260063584257_twitter']"
80,"['1178824740913451008_twitter', '1188846662346838016_twitter', '15025367_gab', '12893513_gab', '14040494_gab', '1177726979438596096_twitter', '17056871_gab', '15424010_gab', '1178916134105387008_twitter', '24004249_gab', '1179093558235684866_twitter', '1178990389111508993_twitter', '17972729_gab', '17965027_gab', '1178961875209375745_twitter', '1086912760665927680_twitter', '12632852_gab', '1111582276847104000_twitter', '1178899984038682625_twitter', '1179086676750192641_twitter']"
81,"['19613965_gab', '14698347_gab', '16273353_gab', '25906761_gab', '20301314_gab', '13245701_gab', '14781418_gab', '5328590_gab', '25112559_gab', '5708239_gab', '21261762_gab', '23896536_gab', '17945117_gab', '15116550_gab', '22972942_gab', '24665773_gab', '26999037_gab', '12047569_gab', '11477949_gab', '13405539_gab']"
82,"['26476649_gab', '17826383_gab', '16516212_gab', '22939105_gab', '1178680002746957827_twitter', '1179105603005878272_twitter', '1179093240433250307_twitter', '1178318300452806656_twitter', '1089938921633378304_twitter', '1178739630302216193_twitter', '1178802993304657922_twitter', '1179102552345976832_twitter', '1179029538203951104_twitter', '1178741095150313480_twitter', '1178788279891546112_twitter', '1179092483390746625_twitter', '1178642248004751365_twitter', '1179055795385831424_twitter', '1178912016574160896_twitter', '1178944624251015168_twitter']"
83,"['22217772_gab', '11966722_gab', '1179080132813840384_twitter', '10912897_gab', '1178865192165351424_twitter', '1178669378700812294_twitter', '15968656_gab', '1178920223216459776_twitter', '1178130764405366784_twitter', '1178551511632285697_twitter', '17524279_gab', '23025079_gab', '1178748323324448769_twitter', '1179076907410874370_twitter', '13646100_gab', '1178754848025497601_twitter', '1178407373091803136_twitter', '27438791_gab', '18920536_gab', '26929420_gab']"
84,"['1178761983262412801_twitter', '23888587_gab', '1179020162995019776_twitter', '1178899346743537664_twitter', '1179103273770455040_twitter', '1178833423965683712_twitter', '1179089934298185730_twitter', '1179074380720201729_twitter', '1178933706951729153_twitter', '1178882815259222017_twitter', '13536543_gab', '1179055528661700609_twitter', '3YOAVL4CA0IGUN4ZMDD3R483J064ZV_nf_3', '1179092454492049408_twitter', '1178833527128768512_twitter', '1179005894392070144_twitter', '1178939497456779264_twitter', '1178924924313882624_twitter', '1179105547573837824_twitter', '1179100789329018880_twitter']"
85,"['13120211_gab', '22341093_gab', '12915755_gab', '15544962_gab', '1178344462814076928_twitter', '23700113_gab', '1178783419188174848_twitter', '20219963_gab', '1179077802978467840_twitter', '1178332422963941388_twitter', '13104688_gab', '1178826128338780160_twitter', '1179006899112558592_twitter', '13003308_gab', '19513796_gab', '1179088988445007875_twitter', '8442798_gab', '1178801700251021312_twitter', '1178996640205721605_twitter', '1178349554908958726_twitter']"
86,"['1178393878686310405_twitter', '1179098842127650822_twitter', '15699175_gab', '1179077802978467840_twitter', '13120211_gab', '1178537198859079681_twitter', '1179088988445007875_twitter', '1178667690984128512_twitter', '1179087403861954560_twitter', '16771882_gab']"
87,"['1178689664275927040_twitter', '1178804754434146304_twitter', '1179019731698884608_twitter', '1179025932666847235_twitter', '1179065745902202880_twitter', '26343766_gab', '4034919_gab', '1179077145777324032_twitter', '19639148_gab', '1178935339559374848_twitter', '12475012_gab', '1178480625939992576_twitter', '1179090454454951936_twitter', '1179033812195368965_twitter', '1178456802297556992_twitter', '1179104527426867202_twitter', '1178862198522830849_twitter', '22752944_gab', '18548237_gab', '1179074279175901184_twitter']"
88,"['12518134_gab', '27055008_gab', '5610008_gab', '16129041_gab', '22498744_gab', '22387373_gab', '1338629_gab', '21453585_gab', '17261158_gab', '11823354_gab', '12648130_gab', '23007090_gab', '9623368_gab', '22432428_gab', '22198009_gab', '19414436_gab', '17361501_gab', '20238600_gab', '26900840_gab', '27201614_gab']"
89,"['1178607039653789697_twitter', '1177475368506118144_twitter', '1179072682467500032_twitter', '13802619_gab', '10126246_gab', '26085219_gab', '1179104292776611842_twitter', '1179035412645502976_twitter', '1178701961442533376_twitter', '19052532_gab', '1179097693748158467_twitter', '1179084430062821377_twitter', '1179104067831783425_twitter', '1178583109501145089_twitter', '1178815148267593728_twitter', '1178415250753892355_twitter', '6369122_gab', '1179081634978631681_twitter', '1178876362008006657_twitter', '1178887585831280640_twitter']"
90,"['23785295_gab', '13455893_gab', '17973079_gab', '1179044443921555456_twitter', '18990407_gab', '1179009306684878850_twitter', '6893433_gab', '27000152_gab', '1179039865016442880_twitter', '20737742_gab', '1179100967981244418_twitter', '1178856921316675584_twitter', '1179032471083634688_twitter', '1179044917911400448_twitter', '1178904537928798208_twitter', '8643913_gab', '10828107_gab', '1179099489165926401_twitter', '1178717722416467969_twitter', '11266728_gab']"
91,"['1179078060852817928_twitter', '1179003943466291200_twitter', '1178190727987118080_twitter', '1178683447029764097_twitter', '1179085198903914499_twitter', '1178881031136403456_twitter', '1178509992158273536_twitter', '27254282_gab', '1178845623413608448_twitter', '1179047042242535425_twitter', '1179103344381612032_twitter', '1178507064403992576_twitter', '1179089058619940864_twitter', '23641572_gab', '1179082068946493440_twitter', '1178556707720613888_twitter', '1179073674332266496_twitter', '1178356671338426368_twitter', '23874467_gab', '1178670866768502785_twitter']"
92,"['15311795_gab', '21988766_gab', '1179019054402551808_twitter', '12648130_gab', '20529027_gab', '1178671986245095424_twitter', '1179085372787216388_twitter', '27024916_gab', '1177890061817397249_twitter', '1178873953332465664_twitter', '16204881_gab', '10512629_gab', '1178796509447512065_twitter', '1177338649119080448_twitter', '12902800_gab', '9462343_gab', '1178771179877744640_twitter', '12294779_gab', '17832328_gab', '1178333310944206849_twitter']"
93,"['1179089362014879751_twitter', '1179004009778073600_twitter', '1179028585010651136_twitter', '1178302694169235456_twitter', '1178882757474344960_twitter', '1178736393381711875_twitter', '1179052072412557312_twitter', '1178943571400880128_twitter', '13647538_gab', '1179094203269308426_twitter', '26036690_gab', '9648403_gab', '1179105720043745280_twitter', '1179073412578381827_twitter', '1179077145777324032_twitter', '1178706099786190850_twitter', '1178410868834537472_twitter', '1179028650760572928_twitter', '1178862198522830849_twitter', '1178949806443679744_twitter']"
94,"['17154064_gab', '24277992_gab', '19384911_gab', '17529758_gab', '15036536_gab', '26349453_gab', '14588809_gab', '22107142_gab', '14601804_gab', '22627863_gab', '18416152_gab']"
95,"['15674562_gab', '13455893_gab', '1177308686190092289_twitter', '1179082751737249792_twitter', '1178579403720318976_twitter', '1178518576283545602_twitter', '14606703_gab', '20737742_gab', '24464687_gab', '1178755414566916096_twitter', '9165145_gab', '22152065_gab', '10472215_gab', '14588809_gab', '18005714_gab', '25925813_gab', '14418334_gab', '26905576_gab', '1178985525040037889_twitter', '13216290_gab']"
96,"['1178426476338671616_twitter', '8044542_gab', '13681705_gab', '1178765107062546434_twitter', '1179030740379373568_twitter', '26411273_gab', '17553164_gab', '1177359479794524162_twitter', '1179037965743378434_twitter', '1178859888191135744_twitter', '18184820_gab', '1178020872537415681_twitter', '15848308_gab', '15859370_gab', '27966227_gab', '13365673_gab', '24118048_gab', '1178338121391443968_twitter', '25998143_gab', '14274324_gab']"
97,"['22545451_gab', '15004236_gab', '13104004_gab', '1178085955032383488_twitter', '14864489_gab', '13450400_gab', '18123734_gab', '1178655780029042688_twitter', '1081245161261273092_twitter', '12089704_gab', '1179041789442973696_twitter', '24519642_gab', '20921931_gab', '1178872539545776128_twitter', '1179072603677450240_twitter', '1106211579631202309_twitter', '4834165_gab', '25952742_gab', '23925837_gab', '1178711725924855808_twitter']"
98,"['15730351_gab', '1179034899841314818_twitter', '1179025513970577408_twitter', '1179050794865352704_twitter', '1179078489108074497_twitter', '1178120616467161089_twitter']"
99,"['1179071841375117312_twitter', '1179026159347986432_twitter', '1179097672722141184_twitter', '1178391819542908929_twitter', '1179064190822170624_twitter', '1179104812924899329_twitter', '1179028034525028360_twitter', '1178851408168263680_twitter', '1179019049969373184_twitter', '1178880014260899840_twitter', '1179100409836781570_twitter', '1179081041866186752_twitter', '1179047647706939392_twitter', '1179071551364386816_twitter', '1179095057649033217_twitter', '1178656914567258112_twitter', '1179097251001589761_twitter', '1179042058851569664_twitter', '1179097275588579329_twitter', '1179089265038249984_twitter']"
100,"['1178971324544360449_twitter', '1179051449541480453_twitter', '1178499104864964610_twitter', '1179065369094344705_twitter', '1178927472487915520_twitter', '1177687442725494787_twitter', '1179023258143858688_twitter', '1178908889598705664_twitter', '1179077229961039873_twitter', '1178846048166526976_twitter', '1178720655795261440_twitter', '1178945010403643392_twitter', '1178554491651710976_twitter', '7093626_gab', '1178240281096769536_twitter', '1179093741425971201_twitter', '1178861791939571712_twitter', '1178579544606949376_twitter', '1179071827571818501_twitter', '1179041644462534658_twitter']"
